word	onset	duration
HI	457.1125	0.5800
ROSS	460.4025	0.4000
HI	460.9325	0.2300
RACHEL	461.1625	0.3800
IS	461.7325	0.0900
JOEY	461.8225	0.2100
TRIBBIANI	462.0325	0.4300
HERE	462.4625	0.2100
UM	462.9225	0.3900
NO	463.6825	0.3500
WELL	464.2425	0.2200
IF	464.4625	0.1300
YOU	464.5925	0.1200
SEE	464.7125	0.3700
HIM	465.0825	0.2400
WILL	465.5025	0.1000
YOU	465.6025	0.1900
PLEASE	465.7925	0.3600
TELL	466.1525	0.2400
HIM	466.3925	0.3100
THAT	466.8725	0.1600
I'M	467.0325	0.1600
LOOKING	467.1925	0.3700
FOR	467.5625	0.2900
HIM	467.8525	0.2900
AND	468.3225	0.1600
THAT	468.4825	0.1400
THIS	468.7125	0.2800
TIME	468.9925	0.4100
I	469.5225	0.1600
AM	469.6825	0.2100
NOT	469.8925	0.3100
GOING	470.3225	0.1500
TO	470.4725	0.0900
THROW	470.6625	0.2400
UP	470.9025	0.1300
OH	471.2125	0.0800
WELL	471.2925	0.1000
THAT	471.3925	2.4200
THAT'S	474.0625	0.2000
ALWAYS	474.2625	0.5200
GOOD	474.7825	0.3000
NEWS	475.0825	0.3700
MM	475.4525	0.2000
HMM	475.6625	0.6100
ARE	476.2725	0.7200
YOU	477.3025	0.2800
OKAY	477.5825	0.4500
ME	478.2125	0.2500
I'M	479.0325	0.1300
GREAT	479.1625	0.4700
I'M	479.8325	0.1600
FINE	479.9925	0.7800
I'M	480.7725	0.1500
SO	480.9225	0.3800
GOOD	481.3025	0.1000
BUT	481.4025	0.5600
YOU	481.9625	0.1700
KNOW	482.3625	0.0600
WHO'S	482.4225	2.1600
NOT	484.5825	0.3300
GREAT	484.9125	0.4000
MEN	485.5825	0.4500
YOURE	487.1025	0.1800
A	487.2825	0.0300
MAN	487.3125	0.2100
RIGHT	487.5225	0.2000
ROSS	487.7225	0.3400
YEAH	488.1725	0.3200
SIT	488.6125	0.2300
DOWN	488.8425	0.2200
LET	489.1225	2.3600
ME	491.4825	0.2600
UH	491.7425	0.1400
LET	491.8825	0.1600
ME	492.0425	0.0600
ASK	492.1025	0.1900
YOU	492.2925	0.0600
SOMETHING	492.3525	0.3600
DO	494.1125	0.4600
WEDDING	494.5725	0.3400
WOWS	494.9725	0.7000
MEAN	495.6725	0.3400
SQUAT	496.0125	0.7100
TO	496.7625	0.4000
YOU	497.1625	0.1500
PEOPLE	497.3125	0.4600
AN	497.8525	1.7500
WHY	499.7025	0.4500
IS	500.2225	0.0900
IT	500.3125	0.1200
THAT	500.4325	0.1300
THE	500.5625	0.0700
SECOND	500.6325	0.6100
WE	501.2425	0.1900
TELL	501.4325	0.1500
YOU	501.5825	0.1200
WE	501.7025	0.1100
ARE	501.8125	0.0900
